sentence1,sentence2,label
"18 Dec, 24","January 18, 2024",0
"2024, Dec 18",18/12/2024,1
18/12/2024,"2024, Dec 18",1
18/12/24,2024/18/12,0
"2024, Dec 18","2024, December 18",1
"2024, Dec 18","18 Dec, 2024",1
Dec182024,Random date text,0
2024/12/18,"2024, Dec 18",1
"24, December 18","March 38, 2005",0
"December 18, 2024",18/12/2024,1
2024Dec18,20241218,1
18/12/2024,"December 18, 2034",0
18/12/24,12/18/2024,1
18/12/24,"Dec 18, 2024",1
2024/12/18,"March 38, 2005",0
"2024, Dec 18",12/18/2024,1
"2024, Dec 18",24/18/12,0
18/12/24,18/12/2024,1
"Dec 18, 2024",18/12/2024,1
"24, Dec 18","January 18, 2024",0
"2024, December 18","18 December, 2024",1
"24, December 18",2024/12/18,1
"Dec 18, 24",24/18/12,0
18/12/2024,Dec182024,1
"Dec 18, 24",December 2024 18,0
2024/12/18,"Dec 18, 24",1
"Dec 18, 2024","2024, Dec 18",1
12/18/2024,2024/18/12,0
2024Dec18,"December 18, 2024",1
"24, December 18",18/12/24,1
"2024, December 18","December 18, 2034",0
18Dec2024,"18 December, 2024",1
"18 December, 2024","January 18, 2024",0
"18 December, 2024",2024Dec18,1
2024-12-18,20241218,1
12/18/2024,2024/18/12,0
"24, Dec 18",2024Dec18,1
"24, Dec 18","Dec 18, 24",1
"18 Dec, 2024",24/18/12,0
"18 Dec, 2024",2024Dec18,1
12/18/2024,2024/18/12,0
"Dec 18, 24",12/18/24,1
2024/12/18,2024Dec18,1
18/12/24,December 2024 18,0
12/18/2024,"18 Dec, 2024",1
"2024, Dec 18","18 Dec, 2024",1
"Dec 18, 24",Random date text,0
Dec182024,"2024, December 18",1
"24, December 18","December 18, 2034",0
18/12/2024,18/12/24,1
18/12/2024,12/18/2024,1
18/12/24,"January 18, 2024",0
"Dec 18, 2024","24, December 18",1
18/12/24,18/12/24,1
18/12/2024,"January 18, 2024",0
12/18/24,"Dec 18, 24",1
18/12/2024,"December 18, 2034",0
2024Dec18,12/18/2024,1
"18 Dec, 2024","18 December, 2024",1
"18 Dec, 24","March 38, 2005",0
18/12/24,"2024, December 18",1
"2024, Dec 18",18/12/24,1
2024/12/18,"December 18, 2034",0
12/18/24,"Dec 18, 24",1
"December 18, 2024","March 38, 2005",0
"2024, Dec 18",Dec182024,1
12/18/24,"December 18, 2024",1
18/12/24,December 2024 18,0
"Dec 18, 24",18/12/2024,1
20241218,Dec182024,1
18/12/2024,"January 18, 2024",0
"2024, Dec 18",20241218,1
"18 Dec, 2024","December 18, 2034",0
18/12/2024,18/12/24,1
12/18/2024,12/18/2024,1
2024Dec18,"December 18, 2034",0
"December 18, 2024",Dec182024,1
18/12/2024,2024-12-18,1
2024/12/18,December 2024 18,0
"18 Dec, 2024",18Dec2024,1
"2024, December 18","December 18, 2034",0
18/12/24,"18 Dec, 2024",1
18/12/24,2024-12-18,1
"18 Dec, 2024","March 38, 2005",0
18/12/24,"18 Dec, 2024",1
"18 December, 2024",2024/12/18,1
"2024, December 18","March 38, 2005",0
2024/12/18,"18 Dec, 2024",1
"24, December 18",Random date text,0
2024/12/18,"18 December, 2024",1
12/18/24,2024/12/18,1
"2024, Dec 18",2024/18/12,0
12/18/2024,2024/12/18,1
18/12/2024,"Dec 18, 2024",1
"18 Dec, 2024","December 18, 2034",0
18/12/2024,18Dec2024,1
Dec182024,"December 18, 2034",0
20241218,"18 Dec, 2024",1
18/12/2024,12/18/2024,1
"December 18, 2024",Random date text,0
2024-12-18,18/12/2024,1
"18 Dec, 2024",18Dec2024,1
"2024, December 18","March 38, 2005",0
"Dec 18, 24","Dec 18, 2024",1
18/12/24,"March 38, 2005",0
2024-12-18,"Dec 18, 2024",1
"Dec 18, 2024","Dec 18, 24",1
18/12/24,"March 38, 2005",0
12/18/2024,"18 Dec, 24",1
18Dec2024,"18 Dec, 2024",1
"2024, December 18",24/18/12,0
18/12/2024,"Dec 18, 2024",1
18/12/2024,December 2024 18,0
"December 18, 2024","18 Dec, 2024",1
"2024, Dec 18",18/12/2024,1
20241218,24/18/12,0
"19 Oct, 24",19/10/2024,1
"Oct 19, 2024","24, Oct 19",1
2024Oct19,2024/19/10,0
10/19/24,10/19/2024,1
19/10/24,24/19/10,0
"19 Oct, 24",19/10/2024,1
"October 19, 2024","19 Oct, 2024",1
"19 Oct, 2024",October 2024 19,0
2024/10/19,10/19/2024,1
"24, Oct 19",2024/10/19,1
2024/10/19,2024/19/10,0
"24, October 19",2024Oct19,1
19/10/2024,"May 40, 2073",0
19/10/24,10/19/24,1
2024Oct19,19/10/24,1
"19 October, 2024",2024/19/10,0
10/19/24,"19 Oct, 24",1
19/10/2024,"24, October 19",1
"2024, Oct 19",October 2024 19,0
10/19/24,20241019,1
"19 October, 2024",2024/19/10,0
19/10/24,"19 Oct, 2024",1
19/10/24,"Oct 19, 2024",1
"Oct 19, 24","May 40, 2073",0
Oct192024,"19 Oct, 24",1
"October 19, 2024",2024/10/19,1
2024/10/19,"October 19, 2016",0
2024/10/19,"19 Oct, 2024",1
10/19/24,October 2024 19,0
"19 Oct, 24","Oct 19, 2024",1
"19 Oct, 2024",20241019,1
20241019,"January 19, 2024",0
19/10/2024,10/19/2024,1
"2024, Oct 19",2024-10-19,1
20241019,"May 40, 2073",0
20241019,2024/10/19,1
"2024, Oct 19","October 19, 2016",0
20241019,"24, October 19",1
19/10/24,"2024, Oct 19",1
19/10/2024,Random date text,0
"2024, Oct 19",10/19/2024,1
20241019,10/19/24,1
"19 Oct, 2024","October 19, 2016",0
19Oct2024,"19 Oct, 24",1
19/10/24,2024/19/10,0
"2024, Oct 19","24, Oct 19",1
"2024, Oct 19","24, Oct 19",1
"19 October, 2024",Random date text,0
10/19/24,"19 Oct, 2024",1
19/10/24,"Oct 19, 24",1
2024/10/19,Random date text,0
Oct192024,"19 Oct, 24",1
"19 Oct, 2024",2024/19/10,0
"2024, Oct 19",10/19/2024,1
"24, Oct 19","Oct 19, 2024",1
"24, Oct 19","January 19, 2024",0
10/19/24,Oct192024,1
19Oct2024,"24, Oct 19",1
"19 Oct, 2024",October 2024 19,0
"19 October, 2024",19Oct2024,1
"24, Oct 19","January 19, 2024",0
10/19/2024,"2024, Oct 19",1
10/19/2024,"19 Oct, 2024",1
Oct192024,24/19/10,0
10/19/2024,"2024, Oct 19",1
19Oct2024,"Oct 19, 24",1
"2024, Oct 19",24/19/10,0
19/10/24,20241019,1
"2024, Oct 19",October 2024 19,0
"19 Oct, 2024",2024/10/19,1
2024/10/19,"2024, Oct 19",1
"Oct 19, 24","May 40, 2073",0
19Oct2024,2024-10-19,1
"October 19, 2024",10/19/24,1
"2024, Oct 19",October 2024 19,0
"Oct 19, 2024","19 Oct, 2024",1
19/10/2024,"January 19, 2024",0
"19 Oct, 2024","19 October, 2024",1
10/19/24,2024/10/19,1
"Oct 19, 24","October 19, 2016",0
10/19/2024,19Oct2024,1
19/10/24,20241019,1
2024/10/19,"May 40, 2073",0
2024Oct19,"Oct 19, 2024",1
"19 Oct, 2024","October 19, 2016",0
2024-10-19,19/10/24,1
20241019,"Oct 19, 24",1
19Oct2024,"May 40, 2073",0
"Oct 19, 2024",10/19/24,1
"24, October 19",2024/10/19,1
Oct192024,"October 19, 2016",0
"19 Oct, 2024","19 Oct, 24",1
"24, October 19","May 40, 2073",0
19/10/24,"Oct 19, 2024",1
2024/10/19,19/10/24,1
"Oct 19, 2024","May 40, 2073",0
2024/10/19,2024/10/19,1
19/10/2024,"2024, October 19",1
"19 October, 2024","May 40, 2073",0
10/19/2024,2024-10-19,1
10/19/24,"May 40, 2073",0
"19 Oct, 2024","Oct 19, 2024",1
19/10/24,10/19/24,1
"2024, Oct 19","May 40, 2073",0
19/10/2024,"19 Oct, 24",1
19/10/2024,2024Oct19,1
10/19/24,24/19/10,0
"24, Oct 19",2024Oct19,1
Oct192024,"October 19, 2016",0
19/10/2024,"2024, Oct 19",1
19/10/2024,19/10/2024,1
2024Oct19,24/19/10,0
"19 Oct, 2024","Oct 19, 2024",1
Oct192024,"24, Oct 19",1
2024/10/19,24/19/10,0
"19 October, 2024",19/10/2024,1
"24, October 19",2024/19/10,0
10/19/2024,"2024, October 19",1
10/19/2024,"Oct 19, 2024",1
10/19/2024,Random date text,0
"19 October, 2024",10/19/24,1
10/19/2024,2024/10/19,1
"19 Oct, 24","May 40, 2073",0
"2024, October 19","2024, Oct 19",1
"Oct 19, 2024","October 19, 2016",0
"2024, October 19","19 Oct, 2024",1
10/19/2024,2024-10-19,1
19/10/2024,October 2024 19,0
"Oct 19, 24",10/19/2024,1
2024Oct19,"October 19, 2024",1
Oct192024,Random date text,0
10/19/24,"October 19, 2024",1
"October 19, 2024","October 19, 2016",0
"Oct 19, 2024","2024, Oct 19",1
"Oct 19, 2024","2024, Oct 19",1
"October 19, 2024","January 19, 2024",0
2024Oct19,19/10/24,1
2024Oct19,20241019,1
"2024, October 19","May 40, 2073",0
"19 October, 2024","2024, Oct 19",1
"2024, Oct 19",24/19/10,0
10/19/24,"19 Oct, 2024",1
20241019,19Oct2024,1
10/19/24,"May 40, 2073",0
"24, October 19",2024/10/19,1
2024/10/19,19/10/2024,1
"19 Oct, 2024",24/19/10,0
10/19/2024,"19 October, 2024",1
"2024, October 19","May 40, 2073",0
10/19/24,19/10/2024,1
Oct192024,2024/10/19,1
"2024, Oct 19","October 19, 2016",0
"Oct 19, 24",10/19/24,1
2024/10/19,19/10/24,1
20241019,24/19/10,0
"19 Oct, 24","2024, October 19",1
10/19/2024,October 2024 19,0
19/10/24,"19 Oct, 2024",1
10/19/24,10/19/2024,1
20241019,"May 40, 2073",0
19/10/24,19/10/2024,1
19/10/24,"19 Oct, 24",1
19/10/2024,"May 40, 2073",0
10/19/24,"2024, Oct 19",1
"19 Oct, 2024","January 19, 2024",0
Oct192024,"Oct 19, 2024",1
"2024, Oct 19","2024, Oct 19",1
"19 October, 2024","October 19, 2016",0
"2024, Oct 19",20241019,1
"Oct 19, 24",2024/10/19,1
19/10/2024,Random date text,0
"19 October, 2024",19/10/24,1
2024/10/19,2024/19/10,0
"19 Oct, 2024",10/19/24,1
2024/10/19,"24, October 19",1
19/10/24,"January 19, 2024",0
10/19/24,"19 Oct, 24",1
"2024, Oct 19",19/10/24,1
2024Oct19,2024/19/10,0
19Oct2024,"19 Oct, 2024",1
"October 19, 2024",2024/19/10,0
"2024, October 19",19/10/24,1
2024/10/19,"2024, Oct 19",1
"19 October, 2024","October 19, 2016",0
19/10/2024,20241019,1
10/19/24,"Oct 19, 2024",1
2024/10/19,Random date text,0
2024/10/19,"2024, October 19",1
"Oct 19, 2024",2024/19/10,0
20241019,"October 19, 2024",1
2024-10-19,"Oct 19, 2024",1
2024/10/19,"October 19, 2016",0
19/10/2024,"October 19, 2024",1
19/10/24,"Oct 19, 24",1
"2024, Oct 19","October 19, 2016",0
Oct192024,"2024, Oct 19",1
"2024, Oct 19","January 19, 2024",0
Oct192024,20241019,1
"2024, Oct 19",19/10/24,1
10/19/24,2024/19/10,0
7/13/2024,13Jul2024,1
"24, July 13","13 July, 2024",1
2024Jul13,"August 13, 2024",0
20240713,07/13/24,1
07/13/2024,"May 32, 2035",0
7/13/24,"Jul 13, 2024",1
Jul132024,"24, Jul 13",1
"Jul 13, 2024","August 13, 2024",0
Jul132024,2024/7/13,1
07/13/24,Jul132024,1
13/07/2024,"July 13, 2022",0
"Jul 13, 24","13 Jul, 2024",1
13/7/24,24/13/07,0
07/13/2024,7/13/24,1
"Jul 13, 2024",07/13/2024,1
13Jul2024,"August 13, 2024",0
"2024, July 13",13/07/2024,1
"2024, July 13","24, July 13",1
"13 July, 2024",24/13/07,0
7/13/2024,20240713,1
2024Jul13,2024/13/07,0
13/7/2024,"13 Jul, 2024",1
07/13/24,Jul132024,1
"Jul 13, 2024","August 13, 2024",0
"Jul 13, 2024",20240713,1
07/13/24,"Jul 13, 24",1
13/7/24,Random date text,0
7/13/2024,13/7/2024,1
"Jul 13, 2024",2024/13/07,0
13/07/24,"13 July, 2024",1
07/13/2024,13/7/24,1
"2024, Jul 13",Random date text,0
20240713,13/07/24,1
7/13/24,07/13/24,1
07/13/2024,24/13/07,0
"2024, Jul 13",07/13/24,1
"13 Jul, 24","August 13, 2024",0
"July 13, 2024",2024/7/13,1
13/07/2024,7/13/24,1
"13 July, 2024",24/13/07,0
13/07/24,13/07/2024,1
"Jul 13, 2024",13/7/2024,1
2024/07/13,"July 13, 2022",0
7/13/2024,2024Jul13,1
20240713,"May 32, 2035",0
"24, Jul 13",2024-07-13,1
"2024, Jul 13","Jul 13, 24",1
13Jul2024,Random date text,0
"2024, July 13","2024, Jul 13",1
"July 13, 2024",2024-07-13,1
13/07/24,24/13/07,0
"2024, Jul 13",13/7/2024,1
"24, Jul 13",2024/13/07,0
13/7/24,"13 Jul, 24",1
"13 Jul, 2024",07/13/24,1
"2024, July 13",July 2024 13,0
2024-07-13,"13 Jul, 2024",1
07/13/24,"2024, Jul 13",1
2024Jul13,Random date text,0
13/7/2024,7/13/2024,1
"24, Jul 13","July 13, 2022",0
2024Jul13,13/07/2024,1
7/13/2024,2024/07/13,1
Jul132024,July 2024 13,0
"July 13, 2024","13 July, 2024",1
"13 Jul, 24","2024, Jul 13",1
2024/07/13,July 2024 13,0
13/7/24,"Jul 13, 2024",1
"24, Jul 13","August 13, 2024",0
Jul132024,"13 Jul, 24",1
13/7/2024,13/07/24,1
"July 13, 2024","May 32, 2035",0
13/7/2024,07/13/2024,1
"2024, Jul 13",13Jul2024,1
7/13/2024,July 2024 13,0
"2024, July 13",13/07/2024,1
Jul132024,"August 13, 2024",0
"24, July 13",13/07/2024,1
2024Jul13,"2024, July 13",1
"13 Jul, 2024","August 13, 2024",0
07/13/24,2024Jul13,1
07/13/2024,"Jul 13, 2024",1
"Jul 13, 24","May 32, 2035",0
"24, Jul 13","Jul 13, 2024",1
13/7/2024,"August 13, 2024",0
7/13/2024,"Jul 13, 2024",1
2024/07/13,"2024, Jul 13",1
"24, July 13",24/13/07,0
2024-07-13,"Jul 13, 24",1
2024-07-13,13/7/24,1
"Jul 13, 2024",24/13/07,0
07/13/24,"13 Jul, 24",1
"2024, Jul 13","May 32, 2035",0
2024-07-13,"Jul 13, 2024",1
"2024, Jul 13",13/07/24,1
07/13/24,"July 13, 2022",0
13/07/24,7/13/2024,1
13/07/2024,7/13/2024,1
"2024, Jul 13",2024/13/07,0
"13 Jul, 24",2024/07/13,1
"13 July, 2024",Random date text,0
Jul132024,2024-07-13,1
"13 July, 2024","13 Jul, 2024",1
13/07/24,"July 13, 2022",0
13/07/2024,7/13/2024,1
20240713,13/7/2024,1
"2024, Jul 13","May 32, 2035",0
20240713,"24, July 13",1
"24, Jul 13","May 32, 2035",0
2024/07/13,"Jul 13, 2024",1
"Jul 13, 2024","2024, Jul 13",1
"24, July 13",2024/13/07,0
"13 July, 2024","13 Jul, 2024",1
13/07/2024,"13 Jul, 2024",1
2024Jul13,24/13/07,0
"July 13, 2024",Jul132024,1
"2024, Jul 13","August 13, 2024",0
2024/7/13,"2024, Jul 13",1
Jul132024,"13 Jul, 2024",1
"13 July, 2024","May 32, 2035",0
7/13/24,"Jul 13, 2024",1
"July 13, 2024","13 Jul, 2024",1
07/13/24,2024/13/07,0
"13 Jul, 24",Jul132024,1
"13 July, 2024","July 13, 2022",0
"13 Jul, 24","13 Jul, 2024",1
Jul132024,07/13/24,1
"13 Jul, 24",July 2024 13,0
20240713,"13 Jul, 24",1
"2024, July 13","13 Jul, 2024",1
07/13/24,"August 13, 2024",0
"13 Jul, 24",13/07/2024,1
2024/07/13,July 2024 13,0
"13 Jul, 2024","13 Jul, 2024",1
"13 July, 2024",20240713,1
07/13/2024,"July 13, 2022",0
13/7/24,13Jul2024,1
13/7/2024,"2024, Jul 13",1
13/7/2024,2024/13/07,0
"24, Jul 13","Jul 13, 2024",1
"13 Jul, 2024",Random date text,0
7/13/2024,13Jul2024,1
13/07/2024,Jul132024,1
7/13/2024,July 2024 13,0
2024Jul13,"13 Jul, 24",1
13Jul2024,2024Jul13,1
"13 July, 2024","July 13, 2022",0
2024Jul13,13/07/24,1
"Jul 13, 24",2024/13/07,0
"13 Jul, 2024",2024-07-13,1
2024Jul13,13/7/24,1
"Jul 13, 2024","May 32, 2035",0
7/13/24,"Jul 13, 24",1
7/13/24,13/07/24,1
"2024, Jul 13",2024/13/07,0
"2024, July 13",07/13/24,1
2024-07-13,"July 13, 2022",0
Jul132024,13/7/24,1
Jul132024,"13 Jul, 24",1
13/07/2024,July 2024 13,0
"July 13, 2024",13/07/2024,1
Jul132024,"13 Jul, 2024",1
"13 July, 2024","August 13, 2024",0
13/7/2024,"July 13, 2024",1
2024/7/13,"July 13, 2022",0
"13 July, 2024","13 Jul, 2024",1
13/07/24,"Jul 13, 2024",1
07/13/2024,July 2024 13,0
"Jul 13, 24","13 Jul, 2024",1
"24, Jul 13","24, July 13",1
"2024, Jul 13",July 2024 13,0
2024/7/13,"2024, Jul 13",1
Jul132024,"May 32, 2035",0
13/7/24,7/13/24,1
"13 Jul, 2024",13/07/2024,1
7/13/2024,Random date text,0
07/13/24,"13 Jul, 24",1
2024/07/13,7/13/24,1
"13 July, 2024","May 32, 2035",0
13/7/24,13/7/2024,1
2024-07-13,2024/13/07,0
7/13/2024,"2024, July 13",1
"Jul 13, 2024","2024, Jul 13",1
"Jul 13, 2024",24/13/07,0
07/13/2024,"Jul 13, 24",1
"24, July 13",07/13/24,1
"2024, Jul 13",July 2024 13,0
7/13/24,Jul132024,1
2024/07/13,July 2024 13,0
"13 Jul, 24",13Jul2024,1
"2024, Jul 13",13/07/24,1
2024/7/13,July 2024 13,0
"Jul 13, 2024",2024-07-13,1
"2024, Jul 13",20240713,1
2024/7/13,"May 32, 2035",0
"2024, Jul 13",07/13/2024,1
7/13/24,Random date text,0
07/13/2024,"13 Jul, 2024",1
"13 Jul, 2024","Jul 13, 2024",1
13/07/24,Random date text,0
6/21/24,"24, June 21",1
06/21/24,21/06/2024,1
21/06/2024,"June 21, 2018",0
"21 Jun, 2024",21/06/2024,1
6/21/24,"June 21, 2018",0
21/6/24,"2024, June 21",1
"2024, Jun 21",2024-06-21,1
21/6/2024,24/21/06,0
21/6/24,"2024, Jun 21",1
"21 Jun, 2024",Jun212024,1
2024/6/21,24/21/06,0
Jun212024,6/21/24,1
"21 Jun, 24","September 21, 2024",0
2024/06/21,"21 Jun, 2024",1
21/06/24,06/21/24,1
21Jun2024,June 2024 21,0
6/21/2024,"Jun 21, 24",1
06/21/24,"21 June, 2024",1
20240621,"September 21, 2024",0
"21 Jun, 24","21 June, 2024",1
2024/06/21,"June 21, 2018",0
06/21/2024,21/6/2024,1
"June 21, 2024","2024, Jun 21",1
"Jun 21, 24",24/21/06,0
2024-06-21,21/6/24,1
06/21/24,"2024, Jun 21",1
21Jun2024,"September 21, 2024",0
06/21/2024,21/06/2024,1
20240621,24/21/06,0
6/21/2024,"Jun 21, 2024",1
20240621,21/6/24,1
Jun212024,2024/21/06,0
06/21/2024,"21 Jun, 2024",1
"24, June 21","21 Jun, 2024",1
Jun212024,"September 21, 2024",0
20240621,06/21/24,1
21/6/2024,June 2024 21,0
"Jun 21, 2024",21/6/2024,1
"24, June 21",21/6/2024,1
"21 Jun, 2024",24/21/06,0
"2024, June 21",21/06/2024,1
"June 21, 2024","24, June 21",1
6/21/2024,2024/21/06,0
21/06/2024,21/06/24,1
21/06/2024,"September 21, 2024",0
"Jun 21, 2024",2024/06/21,1
21/06/24,21/6/24,1
"21 Jun, 24",Random date text,0
"21 Jun, 2024","2024, Jun 21",1
21Jun2024,2024-06-21,1
"24, Jun 21",June 2024 21,0
6/21/2024,"21 Jun, 2024",1
20240621,2024/21/06,0
"Jun 21, 24",21/06/24,1
21/6/24,"21 Jun, 2024",1
"24, June 21","September 21, 2024",0
"21 June, 2024",21/06/24,1
"21 Jun, 2024",2024Jun21,1
2024/06/21,June 2024 21,0
"21 Jun, 2024",21Jun2024,1
"June 21, 2024","June 21, 2018",0
2024Jun21,21/06/2024,1
6/21/2024,"June 21, 2024",1
"Jun 21, 2024",June 2024 21,0
6/21/24,"2024, Jun 21",1
21/6/2024,"21 June, 2024",1
06/21/2024,"October 38, 2068",0
"Jun 21, 24","24, Jun 21",1
6/21/24,June 2024 21,0
"2024, Jun 21","24, June 21",1
21/06/2024,6/21/2024,1
21/6/2024,Random date text,0
06/21/2024,2024/6/21,1
"24, June 21","Jun 21, 2024",1
"21 Jun, 24","October 38, 2068",0
06/21/2024,2024/6/21,1
"Jun 21, 2024","September 21, 2024",0
"2024, Jun 21",2024-06-21,1
20240621,"Jun 21, 2024",1
6/21/24,"October 38, 2068",0
"21 Jun, 24","2024, Jun 21",1
"2024, Jun 21","24, June 21",1
21Jun2024,"June 21, 2018",0
"21 Jun, 24",2024Jun21,1
06/21/24,24/21/06,0
21Jun2024,21/6/2024,1
2024-06-21,06/21/24,1
"24, June 21",Random date text,0
2024Jun21,2024/6/21,1
6/21/24,"21 June, 2024",1
6/21/24,24/21/06,0
"Jun 21, 2024","21 Jun, 24",1
2024-06-21,"October 38, 2068",0
"21 Jun, 2024","Jun 21, 24",1
21/6/2024,2024/06/21,1
"21 June, 2024","September 21, 2024",0
"June 21, 2024",20240621,1
"2024, June 21",6/21/24,1
2024/6/21,"October 38, 2068",0
06/21/2024,"21 Jun, 24",1
"21 Jun, 2024",June 2024 21,0
"Jun 21, 2024",2024/6/21,1
"2024, Jun 21","21 Jun, 24",1
"2024, Jun 21","September 21, 2024",0
21/06/24,21/06/2024,1
"Jun 21, 24","June 21, 2024",1
"21 Jun, 24",Random date text,0
Jun212024,21/6/24,1
21/6/2024,Random date text,0
06/21/2024,"2024, June 21",1
"21 Jun, 24",Jun212024,1
2024Jun21,2024/21/06,0
21/06/2024,"21 Jun, 24",1
21/6/24,"June 21, 2024",1
21/06/2024,"June 21, 2018",0
6/21/24,21/06/2024,1
06/21/24,June 2024 21,0
"21 Jun, 24","21 Jun, 2024",1
21Jun2024,"2024, Jun 21",1
20240621,"October 38, 2068",0
"21 June, 2024",2024/6/21,1
"21 June, 2024","21 Jun, 2024",1
6/21/2024,June 2024 21,0
"2024, Jun 21",21/6/24,1
"21 Jun, 2024","October 38, 2068",0
"Jun 21, 24",2024/6/21,1
06/21/2024,"2024, Jun 21",1
20240621,2024/21/06,0
"June 21, 2024","Jun 21, 2024",1
2024-06-21,06/21/24,1
"2024, June 21",2024/21/06,0
"2024, Jun 21",06/21/2024,1
21/06/2024,2024/21/06,0
21/06/24,"2024, Jun 21",1
"21 Jun, 2024",21/06/24,1
"21 Jun, 2024",2024/21/06,0
"2024, June 21","21 Jun, 2024",1
21/6/2024,6/21/2024,1
21/6/24,"October 38, 2068",0
21/06/24,21/6/2024,1
6/21/24,24/21/06,0
"21 June, 2024",Jun212024,1
"Jun 21, 2024","21 Jun, 2024",1
"2024, Jun 21","June 21, 2018",0
"21 June, 2024","Jun 21, 2024",1
21/6/2024,20240621,1
2024Jun21,24/21/06,0
21/06/2024,6/21/2024,1
20240621,June 2024 21,0
"2024, Jun 21","2024, June 21",1
"21 June, 2024",06/21/24,1
2024-06-21,2024/21/06,0
"June 21, 2024",21/06/24,1
Jun212024,"24, June 21",1
6/21/24,"June 21, 2018",0
"Jun 21, 2024",21/06/24,1
"June 21, 2024",Random date text,0
21/06/2024,"2024, June 21",1
6/21/24,21Jun2024,1
Jun212024,Random date text,0
"21 Jun, 2024",21Jun2024,1
"21 Jun, 24","2024, Jun 21",1
2024/06/21,Random date text,0
21Jun2024,2024/06/21,1
"24, June 21","October 38, 2068",0
"Jun 21, 2024","2024, Jun 21",1
"June 21, 2024",20240621,1
"21 Jun, 24","October 38, 2068",0
"21 Jun, 2024","Jun 21, 24",1
"2024, Jun 21","21 Jun, 2024",1
"24, June 21","October 38, 2068",0
"21 Jun, 24","24, June 21",1
"24, Jun 21",June 2024 21,0
Jun212024,"Jun 21, 2024",1
"June 21, 2024","24, June 21",1
"21 Jun, 2024","June 21, 2018",0
21Jun2024,"2024, Jun 21",1
"24, Jun 21","Jun 21, 2024",1
21/06/2024,"June 21, 2018",0
Jun212024,"Jun 21, 2024",1
"21 Jun, 2024","June 21, 2018",0
06/21/24,20240621,1
"2024, Jun 21",21/6/24,1
"Jun 21, 24","October 38, 2068",0
21/06/24,"Jun 21, 2024",1
"21 June, 2024","June 21, 2024",1
21Jun2024,2024/21/06,0
2024Jun21,6/21/24,1
"21 Jun, 2024",June 2024 21,0
21/6/24,2024/06/21,1
"21 Jun, 2024","Jun 21, 2024",1
"2024, Jun 21","September 21, 2024",0
"Jun 21, 2024",6/21/2024,1
21Jun2024,"Jun 21, 2024",1
"2024, June 21",24/21/06,0
"21 Jun, 2024","2024, Jun 21",1
6/21/24,24/21/06,0
