Input,Paraphrase,Type
2025-03-14,"March 14, 2025",1
2025-03-14,14-03-2025,1
2025-03-14,14 March 2025,1
2025-03-14,2025/03/14,1
2025-03-14,14/March/2025,1
2025-03-14,2025/14/03,0
2025-03-14,March 2025 14,0
2025-03-14,"March 14, 2022",0
2025-03-14,"June 14, 2025",0
2025-03-14,"April 39, 2090",0
2025-03-14,Random date text,0
2024-08-09,"August 09, 2024",1
2024-08-09,09-08-2024,1
2024-08-09,09 August 2024,1
2024-08-09,2024/08/09,1
2024-08-09,09/August/2024,1
2024-08-09,2024/09/08,0
2024-08-09,August 2024 09,0
2024-08-09,"August 09, 2031",0
2024-08-09,"October 09, 2024",0
2024-08-09,"March 39, 2080",0
2024-08-09,Random date text,0
2025-01-28,"January 28, 2025",1
2025-01-28,28-01-2025,1
2025-01-28,28 January 2025,1
2025-01-28,2025/01/28,1
2025-01-28,28/January/2025,1
2025-01-28,2025/28/01,0
2025-01-28,January 2025 28,0
2025-01-28,"January 28, 2022",0
2025-01-28,"February 28, 2025",0
2025-01-28,"February 35, 2058",0
2025-01-28,Random date text,0
2025-03-23,"March 23, 2025",1
2025-03-23,23-03-2025,1
2025-03-23,23 March 2025,1
2025-03-23,2025/03/23,1
2025-03-23,23/March/2025,1
2025-03-23,2025/23/03,0
2025-03-23,March 2025 23,0
2025-03-23,"March 23, 2032",0
2025-03-23,"October 23, 2025",0
2025-03-23,"June 36, 2089",0
2025-03-23,Random date text,0
2025-03-20,"March 20, 2025",1
2025-03-20,20-03-2025,1
2025-03-20,20 March 2025,1
2025-03-20,2025/03/20,1
2025-03-20,20/March/2025,1
2025-03-20,2025/20/03,0
2025-03-20,March 2025 20,0
2025-03-20,"March 20, 2019",0
2025-03-20,"October 20, 2025",0
2025-03-20,"December 37, 2066",0
2025-03-20,Random date text,0
2025-01-09,"January 09, 2025",1
2025-01-09,09-01-2025,1
2025-01-09,09 January 2025,1
2025-01-09,2025/01/09,1
2025-01-09,09/January/2025,1
2025-01-09,2025/09/01,0
2025-01-09,January 2025 09,0
2025-01-09,"January 09, 2018",0
2025-01-09,"August 09, 2025",0
2025-01-09,"January 33, 2025",0
2025-01-09,Random date text,0
2025-03-19,"March 19, 2025",1
2025-03-19,19-03-2025,1
2025-03-19,19 March 2025,1
2025-03-19,2025/03/19,1
2025-03-19,19/March/2025,1
2025-03-19,2025/19/03,0
2025-03-19,March 2025 19,0
2025-03-19,"March 19, 2020",0
2025-03-19,"June 19, 2025",0
2025-03-19,"August 38, 2086",0
2025-03-19,Random date text,0
2024-06-17,"June 17, 2024",1
2024-06-17,17-06-2024,1
2024-06-17,17 June 2024,1
2024-06-17,2024/06/17,1
2024-06-17,17/June/2024,1
2024-06-17,2024/17/06,0
2024-06-17,June 2024 17,0
2024-06-17,"June 17, 2015",0
2024-06-17,"January 17, 2024",0
2024-06-17,"January 40, 2056",0
2024-06-17,Random date text,0
2025-01-01,"January 01, 2025",1
2025-01-01,01-01-2025,1
2025-01-01,01 January 2025,1
2025-01-01,2025/01/01,1
2025-01-01,01/January/2025,1
2025-01-01,2025/01/01,0
2025-01-01,January 2025 01,0
2025-01-01,"January 01, 2016",0
2025-01-01,"December 01, 2025",0
2025-01-01,"November 32, 2055",0
2025-01-01,Random date text,0
2025-02-21,"February 21, 2025",1
2025-02-21,21-02-2025,1
2025-02-21,21 February 2025,1
2025-02-21,2025/02/21,1
2025-02-21,21/February/2025,1
2025-02-21,2025/21/02,0
2025-02-21,February 2025 21,0
2025-02-21,"February 21, 2030",0
2025-02-21,"December 21, 2025",0
2025-02-21,"May 32, 2099",0
2025-02-21,Random date text,0
2024-08-14,"August 14, 2024",1
2024-08-14,14-08-2024,1
2024-08-14,14 August 2024,1
2024-08-14,2024/08/14,1
2024-08-14,14/August/2024,1
2024-08-14,2024/14/08,0
2024-08-14,August 2024 14,0
2024-08-14,"August 14, 2026",0
2024-08-14,"June 14, 2024",0
2024-08-14,"January 36, 2064",0
2024-08-14,Random date text,0
2025-03-26,"March 26, 2025",1
2025-03-26,26-03-2025,1
2025-03-26,26 March 2025,1
2025-03-26,2025/03/26,1
2025-03-26,26/March/2025,1
2025-03-26,2025/26/03,0
2025-03-26,March 2025 26,0
2025-03-26,"March 26, 2015",0
2025-03-26,"January 26, 2025",0
2025-03-26,"September 33, 2044",0
2025-03-26,Random date text,0
2024-06-21,"June 21, 2024",1
2024-06-21,21-06-2024,1
2024-06-21,21 June 2024,1
2024-06-21,2024/06/21,1
2024-06-21,21/June/2024,1
2024-06-21,2024/21/06,0
2024-06-21,June 2024 21,0
2024-06-21,"June 21, 2033",0
2024-06-21,"December 21, 2024",0
2024-06-21,"September 36, 2024",0
2024-06-21,Random date text,0
2025-02-22,"February 22, 2025",1
2025-02-22,22-02-2025,1
2025-02-22,22 February 2025,1
2025-02-22,2025/02/22,1
2025-02-22,22/February/2025,1
2025-02-22,2025/22/02,0
2025-02-22,February 2025 22,0
2025-02-22,"February 22, 2018",0
2025-02-22,"May 22, 2025",0
2025-02-22,"October 37, 2065",0
2025-02-22,Random date text,0
2024-06-19,"June 19, 2024",1
2024-06-19,19-06-2024,1
2024-06-19,19 June 2024,1
2024-06-19,2024/06/19,1
2024-06-19,19/June/2024,1
2024-06-19,2024/19/06,0
2024-06-19,June 2024 19,0
2024-06-19,"June 19, 2014",0
2024-06-19,"February 19, 2024",0
2024-06-19,"March 40, 2065",0
2024-06-19,Random date text,0
2024-10-08,"October 08, 2024",1
2024-10-08,08-10-2024,1
2024-10-08,08 October 2024,1
2024-10-08,2024/10/08,1
2024-10-08,08/October/2024,1
2024-10-08,2024/08/10,0
2024-10-08,October 2024 08,0
2024-10-08,"October 08, 2028",0
2024-10-08,"November 08, 2024",0
2024-10-08,"November 33, 2062",0
2024-10-08,Random date text,0
2024-06-11,"June 11, 2024",1
2024-06-11,11-06-2024,1
2024-06-11,11 June 2024,1
2024-06-11,2024/06/11,1
2024-06-11,11/June/2024,1
2024-06-11,2024/11/06,0
2024-06-11,June 2024 11,0
2024-06-11,"June 11, 2018",0
2024-06-11,"January 11, 2024",0
2024-06-11,"February 37, 2032",0
2024-06-11,Random date text,0
2024-11-04,"November 04, 2024",1
2024-11-04,04-11-2024,1
2024-11-04,04 November 2024,1
2024-11-04,2024/11/04,1
2024-11-04,04/November/2024,1
2024-11-04,2024/04/11,0
2024-11-04,November 2024 04,0
2024-11-04,"November 04, 2027",0
2024-11-04,"December 04, 2024",0
2024-11-04,"June 31, 2032",0
2024-11-04,Random date text,0
2025-04-29,"April 29, 2025",1
2025-04-29,29-04-2025,1
2025-04-29,29 April 2025,1
2025-04-29,2025/04/29,1
2025-04-29,29/April/2025,1
2025-04-29,2025/29/04,0
2025-04-29,April 2025 29,0
2025-04-29,"April 29, 2016",0
2025-04-29,"January 29, 2025",0
2025-04-29,"February 34, 2008",0
2025-04-29,Random date text,0
2025-05-31,"May 31, 2025",1
2025-05-31,31-05-2025,1
2025-05-31,31 May 2025,1
2025-05-31,2025/05/31,1
2025-05-31,31/May/2025,1
2025-05-31,2025/31/05,0
2025-05-31,May 2025 31,0
2025-05-31,"May 31, 2034",0
2025-05-31,"February 31, 2025",0
2025-05-31,"December 39, 2067",0
2025-05-31,Random date text,0
2024-12-29,"December 29, 2024",1
2024-12-29,29-12-2024,1
2024-12-29,29 December 2024,1
2024-12-29,2024/12/29,1
2024-12-29,29/December/2024,1
2024-12-29,2024/29/12,0
2024-12-29,December 2024 29,0
2024-12-29,"December 29, 2027",0
2024-12-29,"May 29, 2024",0
2024-12-29,"June 32, 2039",0
2024-12-29,Random date text,0
2025-05-17,"May 17, 2025",1
2025-05-17,17-05-2025,1
2025-05-17,17 May 2025,1
2025-05-17,2025/05/17,1
2025-05-17,17/May/2025,1
2025-05-17,2025/17/05,0
2025-05-17,May 2025 17,0
2025-05-17,"May 17, 2023",0
2025-05-17,"June 17, 2025",0
2025-05-17,"December 40, 2094",0
2025-05-17,Random date text,0
2025-05-27,"May 27, 2025",1
2025-05-27,27-05-2025,1
2025-05-27,27 May 2025,1
2025-05-27,2025/05/27,1
2025-05-27,27/May/2025,1
2025-05-27,2025/27/05,0
2025-05-27,May 2025 27,0
2025-05-27,"May 27, 2027",0
2025-05-27,"August 27, 2025",0
2025-05-27,"December 34, 2066",0
2025-05-27,Random date text,0
2025-03-19,"March 19, 2025",1
2025-03-19,19-03-2025,1
2025-03-19,19 March 2025,1
2025-03-19,2025/03/19,1
2025-03-19,19/March/2025,1
2025-03-19,2025/19/03,0
2025-03-19,March 2025 19,0
2025-03-19,"March 19, 2033",0
2025-03-19,"June 19, 2025",0
2025-03-19,"April 38, 2097",0
2025-03-19,Random date text,0
2025-03-09,"March 09, 2025",1
2025-03-09,09-03-2025,1
2025-03-09,09 March 2025,1
2025-03-09,2025/03/09,1
2025-03-09,09/March/2025,1
2025-03-09,2025/09/03,0
2025-03-09,March 2025 09,0
2025-03-09,"March 09, 2028",0
2025-03-09,"November 09, 2025",0
2025-03-09,"August 37, 2069",0
2025-03-09,Random date text,0
2025-04-15,"April 15, 2025",1
2025-04-15,15-04-2025,1
2025-04-15,15 April 2025,1
2025-04-15,2025/04/15,1
2025-04-15,15/April/2025,1
2025-04-15,2025/15/04,0
2025-04-15,April 2025 15,0
2025-04-15,"April 15, 2023",0
2025-04-15,"July 15, 2025",0
2025-04-15,"February 30, 2044",0
2025-04-15,Random date text,0
2024-11-09,"November 09, 2024",1
2024-11-09,09-11-2024,1
2024-11-09,09 November 2024,1
2024-11-09,2024/11/09,1
2024-11-09,09/November/2024,1
2024-11-09,2024/09/11,0
2024-11-09,November 2024 09,0
2024-11-09,"November 09, 2031",0
2024-11-09,"October 09, 2024",0
2024-11-09,"April 34, 2015",0
2024-11-09,Random date text,0
2024-12-10,"December 10, 2024",1
2024-12-10,10-12-2024,1
2024-12-10,10 December 2024,1
2024-12-10,2024/12/10,1
2024-12-10,10/December/2024,1
2024-12-10,2024/10/12,0
2024-12-10,December 2024 10,0
2024-12-10,"December 10, 2023",0
2024-12-10,"September 10, 2024",0
2024-12-10,"October 36, 2082",0
2024-12-10,Random date text,0
2024-07-02,"July 02, 2024",1
2024-07-02,02-07-2024,1
2024-07-02,02 July 2024,1
2024-07-02,2024/07/02,1
2024-07-02,02/July/2024,1
2024-07-02,2024/02/07,0
2024-07-02,July 2024 02,0
2024-07-02,"July 02, 2018",0
2024-07-02,"August 02, 2024",0
2024-07-02,"April 39, 2090",0
2024-07-02,Random date text,0
2025-03-22,"March 22, 2025",1
2025-03-22,22-03-2025,1
2025-03-22,22 March 2025,1
2025-03-22,2025/03/22,1
2025-03-22,22/March/2025,1
2025-03-22,2025/22/03,0
2025-03-22,March 2025 22,0
2025-03-22,"March 22, 2031",0
2025-03-22,"April 22, 2025",0
2025-03-22,"June 38, 2032",0
2025-03-22,Random date text,0
2024-07-01,"July 01, 2024",1
2024-07-01,01-07-2024,1
2024-07-01,01 July 2024,1
2024-07-01,2024/07/01,1
2024-07-01,01/July/2024,1
2024-07-01,2024/01/07,0
2024-07-01,July 2024 01,0
2024-07-01,"July 01, 2021",0
2024-07-01,"February 01, 2024",0
2024-07-01,"March 37, 2033",0
2024-07-01,Random date text,0
2025-03-30,"March 30, 2025",1
2025-03-30,30-03-2025,1
2025-03-30,30 March 2025,1
2025-03-30,2025/03/30,1
2025-03-30,30/March/2025,1
2025-03-30,2025/30/03,0
2025-03-30,March 2025 30,0
2025-03-30,"March 30, 2028",0
2025-03-30,"June 30, 2025",0
2025-03-30,"September 33, 2008",0
2025-03-30,Random date text,0
2025-04-23,"April 23, 2025",1
2025-04-23,23-04-2025,1
2025-04-23,23 April 2025,1
2025-04-23,2025/04/23,1
2025-04-23,23/April/2025,1
2025-04-23,2025/23/04,0
2025-04-23,April 2025 23,0
2025-04-23,"April 23, 2022",0
2025-04-23,"February 23, 2025",0
2025-04-23,"August 36, 2023",0
2025-04-23,Random date text,0
2024-12-23,"December 23, 2024",1
2024-12-23,23-12-2024,1
2024-12-23,23 December 2024,1
2024-12-23,2024/12/23,1
2024-12-23,23/December/2024,1
2024-12-23,2024/23/12,0
2024-12-23,December 2024 23,0
2024-12-23,"December 23, 2016",0
2024-12-23,"October 23, 2024",0
2024-12-23,"August 37, 2034",0
2024-12-23,Random date text,0
2025-01-04,"January 04, 2025",1
2025-01-04,04-01-2025,1
2025-01-04,04 January 2025,1
2025-01-04,2025/01/04,1
2025-01-04,04/January/2025,1
2025-01-04,2025/04/01,0
2025-01-04,January 2025 04,0
2025-01-04,"January 04, 2019",0
2025-01-04,"March 04, 2025",0
2025-01-04,"April 40, 2020",0
2025-01-04,Random date text,0
2024-10-30,"October 30, 2024",1
2024-10-30,30-10-2024,1
2024-10-30,30 October 2024,1
2024-10-30,2024/10/30,1
2024-10-30,30/October/2024,1
2024-10-30,2024/30/10,0
2024-10-30,October 2024 30,0
2024-10-30,"October 30, 2021",0
2024-10-30,"November 30, 2024",0
2024-10-30,"June 39, 2033",0
2024-10-30,Random date text,0
2024-08-18,"August 18, 2024",1
2024-08-18,18-08-2024,1
2024-08-18,18 August 2024,1
2024-08-18,2024/08/18,1
2024-08-18,18/August/2024,1
2024-08-18,2024/18/08,0
2024-08-18,August 2024 18,0
2024-08-18,"August 18, 2016",0
2024-08-18,"January 18, 2024",0
2024-08-18,"October 40, 2007",0
2024-08-18,Random date text,0
2024-11-01,"November 01, 2024",1
2024-11-01,01-11-2024,1
2024-11-01,01 November 2024,1
2024-11-01,2024/11/01,1
2024-11-01,01/November/2024,1
2024-11-01,2024/01/11,0
2024-11-01,November 2024 01,0
2024-11-01,"November 01, 2033",0
2024-11-01,"October 01, 2024",0
2024-11-01,"October 34, 2052",0
2024-11-01,Random date text,0
2024-09-22,"September 22, 2024",1
2024-09-22,22-09-2024,1
2024-09-22,22 September 2024,1
2024-09-22,2024/09/22,1
2024-09-22,22/September/2024,1
2024-09-22,2024/22/09,0
2024-09-22,September 2024 22,0
2024-09-22,"September 22, 2016",0
2024-09-22,"July 22, 2024",0
2024-09-22,"March 39, 2077",0
2024-09-22,Random date text,0
2024-12-30,"December 30, 2024",1
2024-12-30,30-12-2024,1
2024-12-30,30 December 2024,1
2024-12-30,2024/12/30,1
2024-12-30,30/December/2024,1
2024-12-30,2024/30/12,0
2024-12-30,December 2024 30,0
2024-12-30,"December 30, 2032",0
2024-12-30,"July 30, 2024",0
2024-12-30,"February 35, 2041",0
2024-12-30,Random date text,0
2024-11-24,"November 24, 2024",1
2024-11-24,24-11-2024,1
2024-11-24,24 November 2024,1
2024-11-24,2024/11/24,1
2024-11-24,24/November/2024,1
2024-11-24,2024/24/11,0
2024-11-24,November 2024 24,0
2024-11-24,"November 24, 2017",0
2024-11-24,"May 24, 2024",0
2024-11-24,"July 35, 2050",0
2024-11-24,Random date text,0
2024-08-24,"August 24, 2024",1
2024-08-24,24-08-2024,1
2024-08-24,24 August 2024,1
2024-08-24,2024/08/24,1
2024-08-24,24/August/2024,1
2024-08-24,2024/24/08,0
2024-08-24,August 2024 24,0
2024-08-24,"August 24, 2029",0
2024-08-24,"October 24, 2024",0
2024-08-24,"February 38, 2082",0
2024-08-24,Random date text,0
2025-05-26,"May 26, 2025",1
2025-05-26,26-05-2025,1
2025-05-26,26 May 2025,1
2025-05-26,2025/05/26,1
2025-05-26,26/May/2025,1
2025-05-26,2025/26/05,0
2025-05-26,May 2025 26,0
2025-05-26,"May 26, 2020",0
2025-05-26,"October 26, 2025",0
2025-05-26,"October 40, 2075",0
2025-05-26,Random date text,0
2025-05-22,"May 22, 2025",1
2025-05-22,22-05-2025,1
2025-05-22,22 May 2025,1
2025-05-22,2025/05/22,1
2025-05-22,22/May/2025,1
2025-05-22,2025/22/05,0
2025-05-22,May 2025 22,0
2025-05-22,"May 22, 2024",0
2025-05-22,"April 22, 2025",0
2025-05-22,"December 34, 2001",0
2025-05-22,Random date text,0
2024-06-28,"June 28, 2024",1
2024-06-28,28-06-2024,1
2024-06-28,28 June 2024,1
2024-06-28,2024/06/28,1
2024-06-28,28/June/2024,1
2024-06-28,2024/28/06,0
2024-06-28,June 2024 28,0
2024-06-28,"June 28, 2025",0
2024-06-28,"August 28, 2024",0
2024-06-28,"June 37, 2051",0
2024-06-28,Random date text,0
2025-03-03,"March 03, 2025",1
2025-03-03,03-03-2025,1
2025-03-03,03 March 2025,1
2025-03-03,2025/03/03,1
2025-03-03,03/March/2025,1
2025-03-03,2025/03/03,0
2025-03-03,March 2025 03,0
2025-03-03,"March 03, 2029",0
2025-03-03,"February 03, 2025",0
2025-03-03,"January 34, 2042",0
2025-03-03,Random date text,0
2024-07-17,"July 17, 2024",1
2024-07-17,17-07-2024,1
2024-07-17,17 July 2024,1
2024-07-17,2024/07/17,1
2024-07-17,17/July/2024,1
2024-07-17,2024/17/07,0
2024-07-17,July 2024 17,0
2024-07-17,"July 17, 2029",0
2024-07-17,"October 17, 2024",0
2024-07-17,"February 35, 2001",0
2024-07-17,Random date text,0
2024-07-30,"July 30, 2024",1
2024-07-30,30-07-2024,1
2024-07-30,30 July 2024,1
2024-07-30,2024/07/30,1
2024-07-30,30/July/2024,1
2024-07-30,2024/30/07,0
2024-07-30,July 2024 30,0
2024-07-30,"July 30, 2027",0
2024-07-30,"November 30, 2024",0
2024-07-30,"February 38, 2022",0
2024-07-30,Random date text,0
2025-05-19,"May 19, 2025",1
2025-05-19,19-05-2025,1
2025-05-19,19 May 2025,1
2025-05-19,2025/05/19,1
2025-05-19,19/May/2025,1
2025-05-19,2025/19/05,0
2025-05-19,May 2025 19,0
2025-05-19,"May 19, 2019",0
2025-05-19,"January 19, 2025",0
2025-05-19,"September 38, 2093",0
2025-05-19,Random date text,0
2024-09-08,"September 08, 2024",1
2024-09-08,08-09-2024,1
2024-09-08,08 September 2024,1
2024-09-08,2024/09/08,1
2024-09-08,08/September/2024,1
2024-09-08,2024/08/09,0
2024-09-08,September 2024 08,0
2024-09-08,"September 08, 2031",0
2024-09-08,"November 08, 2024",0
2024-09-08,"December 36, 2014",0
2024-09-08,Random date text,0
2025-01-14,"January 14, 2025",1
2025-01-14,14-01-2025,1
2025-01-14,14 January 2025,1
2025-01-14,2025/01/14,1
2025-01-14,14/January/2025,1
2025-01-14,2025/14/01,0
2025-01-14,January 2025 14,0
2025-01-14,"January 14, 2035",0
2025-01-14,"November 14, 2025",0
2025-01-14,"November 34, 2008",0
2025-01-14,Random date text,0
2024-08-10,"August 10, 2024",1
2024-08-10,10-08-2024,1
2024-08-10,10 August 2024,1
2024-08-10,2024/08/10,1
2024-08-10,10/August/2024,1
2024-08-10,2024/10/08,0
2024-08-10,August 2024 10,0
2024-08-10,"August 10, 2032",0
2024-08-10,"September 10, 2024",0
2024-08-10,"January 39, 2015",0
2024-08-10,Random date text,0
2024-07-22,"July 22, 2024",1
2024-07-22,22-07-2024,1
2024-07-22,22 July 2024,1
2024-07-22,2024/07/22,1
2024-07-22,22/July/2024,1
2024-07-22,2024/22/07,0
2024-07-22,July 2024 22,0
2024-07-22,"July 22, 2026",0
2024-07-22,"May 22, 2024",0
2024-07-22,"August 41, 2058",0
2024-07-22,Random date text,0
2024-10-16,"October 16, 2024",1
2024-10-16,16-10-2024,1
2024-10-16,16 October 2024,1
2024-10-16,2024/10/16,1
2024-10-16,16/October/2024,1
2024-10-16,2024/16/10,0
2024-10-16,October 2024 16,0
2024-10-16,"October 16, 2022",0
2024-10-16,"December 16, 2024",0
2024-10-16,"December 41, 2056",0
2024-10-16,Random date text,0
2025-04-23,"April 23, 2025",1
2025-04-23,23-04-2025,1
2025-04-23,23 April 2025,1
2025-04-23,2025/04/23,1
2025-04-23,23/April/2025,1
2025-04-23,2025/23/04,0
2025-04-23,April 2025 23,0
2025-04-23,"April 23, 2027",0
2025-04-23,"September 23, 2025",0
2025-04-23,"January 41, 2059",0
2025-04-23,Random date text,0
2024-11-13,"November 13, 2024",1
2024-11-13,13-11-2024,1
2024-11-13,13 November 2024,1
2024-11-13,2024/11/13,1
2024-11-13,13/November/2024,1
2024-11-13,2024/13/11,0
2024-11-13,November 2024 13,0
2024-11-13,"November 13, 2033",0
2024-11-13,"March 13, 2024",0
2024-11-13,"June 40, 2064",0
2024-11-13,Random date text,0
2024-07-24,"July 24, 2024",1
2024-07-24,24-07-2024,1
2024-07-24,24 July 2024,1
2024-07-24,2024/07/24,1
2024-07-24,24/July/2024,1
2024-07-24,2024/24/07,0
2024-07-24,July 2024 24,0
2024-07-24,"July 24, 2025",0
2024-07-24,"January 24, 2024",0
2024-07-24,"September 33, 2088",0
2024-07-24,Random date text,0
2024-09-05,"September 05, 2024",1
2024-09-05,05-09-2024,1
2024-09-05,05 September 2024,1
2024-09-05,2024/09/05,1
2024-09-05,05/September/2024,1
2024-09-05,2024/05/09,0
2024-09-05,September 2024 05,0
2024-09-05,"September 05, 2017",0
2024-09-05,"October 05, 2024",0
2024-09-05,"September 32, 2075",0
2024-09-05,Random date text,0
2024-10-27,"October 27, 2024",1
2024-10-27,27-10-2024,1
2024-10-27,27 October 2024,1
2024-10-27,2024/10/27,1
2024-10-27,27/October/2024,1
2024-10-27,2024/27/10,0
2024-10-27,October 2024 27,0
2024-10-27,"October 27, 2028",0
2024-10-27,"February 27, 2024",0
2024-10-27,"August 35, 2013",0
2024-10-27,Random date text,0
2024-08-19,"August 19, 2024",1
2024-08-19,19-08-2024,1
2024-08-19,19 August 2024,1
2024-08-19,2024/08/19,1
2024-08-19,19/August/2024,1
2024-08-19,2024/19/08,0
2024-08-19,August 2024 19,0
2024-08-19,"August 19, 2034",0
2024-08-19,"July 19, 2024",0
2024-08-19,"August 39, 2019",0
2024-08-19,Random date text,0
2025-04-15,"April 15, 2025",1
2025-04-15,15-04-2025,1
2025-04-15,15 April 2025,1
2025-04-15,2025/04/15,1
2025-04-15,15/April/2025,1
2025-04-15,2025/15/04,0
2025-04-15,April 2025 15,0
2025-04-15,"April 15, 2028",0
2025-04-15,"September 15, 2025",0
2025-04-15,"February 30, 2080",0
2025-04-15,Random date text,0
2024-10-29,"October 29, 2024",1
2024-10-29,29-10-2024,1
2024-10-29,29 October 2024,1
2024-10-29,2024/10/29,1
2024-10-29,29/October/2024,1
2024-10-29,2024/29/10,0
2024-10-29,October 2024 29,0
2024-10-29,"October 29, 2014",0
2024-10-29,"January 29, 2024",0
2024-10-29,"August 36, 2057",0
2024-10-29,Random date text,0
2025-01-05,"January 05, 2025",1
2025-01-05,05-01-2025,1
2025-01-05,05 January 2025,1
2025-01-05,2025/01/05,1
2025-01-05,05/January/2025,1
2025-01-05,2025/05/01,0
2025-01-05,January 2025 05,0
2025-01-05,"January 05, 2035",0
2025-01-05,"April 05, 2025",0
2025-01-05,"August 37, 2028",0
2025-01-05,Random date text,0
2025-05-03,"May 03, 2025",1
2025-05-03,03-05-2025,1
2025-05-03,03 May 2025,1
2025-05-03,2025/05/03,1
2025-05-03,03/May/2025,1
2025-05-03,2025/03/05,0
2025-05-03,May 2025 03,0
2025-05-03,"May 03, 2016",0
2025-05-03,"December 03, 2025",0
2025-05-03,"October 37, 2008",0
2025-05-03,Random date text,0
2024-06-17,"June 17, 2024",1
2024-06-17,17-06-2024,1
2024-06-17,17 June 2024,1
2024-06-17,2024/06/17,1
2024-06-17,17/June/2024,1
2024-06-17,2024/17/06,0
2024-06-17,June 2024 17,0
2024-06-17,"June 17, 2032",0
